Boom	Johannes de Boom	Boom, Johannes de			B										1																																			Pin up club, Shavers	1	1														0													0																																																		0		0	
mboomsma	Mark Boomsma	Boomsma, Mark																																																	0															0													0																																																		0		0	
aboon	Arjan Boonacker	Boonacker, Arjan	BoonackerA.htm		D														1																									1	Waarheid			a	Arjan		1															0													0																1																																		1		0	
Boorer	Boz Boorer	Boorer, Boz			G																				1																																																																																																											
jaapb	Jaap Boots	Boots, Jaap	BootsJ.htm		B C H										1		1									1																		3	VPRO			a	Jaap		10															0													0																													1	1	1	1	1	1	1	1		1	1											10	1	5	1
borstlapm	Michiel Borstlap	Borstlap, Michiel			A B			1							1																																				2	1														0												1	1																																																		0	1	0	
ab	Alfred Bos	Bos, Alfred	BosA.htm	2 5 7 13 16	D		1				1		1						1				1											1										6	NRC, Nieuwe revu, Disco dance, Music scene	8		a	Alfred		19															0													0							1		1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1																							19		0	
saskiab	Saskia Bosch	Bosch, Saskia	BoschS.htm		D K														1										1															2	Trouw			a	Saskia		5															0													0																															1	1	1	1	1															5		2	1
mickbos	Mick Boskamp	Boskamp, Mick	BoskampM.htm		D														1																									1	Playboy			a	Mick		2															0													0									1							1																																		2		0	
pboskma	Pieter Boskma	Boskma, Pieter																																																	0															0													0																																																		0	1	0	
Bosma	Bastiaan Bosma	Bosma, Bastiaan			B										1																																			Aux Raus	1	1														0													0																																																		0		0	
fritsb	Frits Boterman	Boterman, Frits																																										0							0															0													0																																																		0		0	
mbouk	Mary Boukouvalas	Boukouvalas, Mary			G K																				1				1															2							0															0													0																																																		0		0	
robou	Roel Bouman	Bouman, Roel																																										0							0															0													0																																																		0		0	
annb	Ann Bouwma	Bouwma, Ann	BouwmaA.htm		D														1																									1	Haagse post, Brabant pers	0		a	Ann		14															0													0												1	1	1		1	1	1		1			1							1	1	1	1	1	1															14		2	1
dbowie	David Bowie	Bowie, David			A B G			1							1										1																			3							0															0													0																																																		0		0	
jbradford	Jenny Bradford	Bradford, Jenny			G K																				1				1															2							0															0													0																																																		0		0	
lbradley	Lloyd Bradley	Bradley, Lloyd		10 12 18	G													1			1				1											1								4		1			Lloyd		0															0													0																																																		0		0	
Brands	Jan Pier Brands	Brands, Jan Pier			B										1																																			Meindert Talma & the Negroes	1	1														0													0																																																		0		0	
wbrands	Wim Brands	Brands, Wim																																																	0															0													0																																																		0	1	0	
pbrann	Paul Brannigan	Brannigan, Paul			G																				1																										0															0													0																																																		0		0	
mbreejen	Maartje den Breejen	Breejen, Maartje den	BreejenM.htm		K				1												1		1						1					1										5							6															0	1	1	1					1	1	1			6																																																		0		0	
breemerf	Fleur van den Breemer	Breemer, Fleur van den																																																	1															0							1						1																																																		0		0	
mbrekel	Marc Brekelmans	Brekelmans, Marc	BrekelmansM.htm																																															Muziek.nl	1															0													0																																													1					1		1	1
gbr	Gerrit Bremer	Bremer, Gerrit	BremerG.htm		D														1																									1	Oor/Aardschok	1		a	Gerrit		1															0													0																																				1														1		1	1
mbrend	Mark Brend	Brend, Mark			G																				1																			1		0			Mark		0															0													0																																																		0		0	
kvbreugel	Kim van Breugel	Breugel, Kim van			K																								1																																					0													0																																																		0			
rb	Robert Briel	Briel, Robert	BrielR.htm	12	D														1		1																							2	Veronica blad	5		a	Robert		3															0													0		1	1													1																																		3		0	
edwinbr	Edwin Brienen	Brienen, Edwin	BrienenE.htm		C H												1									1																		2	VPRO			a	Edwin		4															0													0																												1	1	1	1																			4		0	
brienenj	Jaap Brienen	Brienen, Jaap																																																Radio 6, KRO	1															0							1						1																																																		0		0	
mbril	Martin Bril	Bril, Martin	BrilM.htm		A D J L			1											1									1997		1														2000	Vinyl			a	Martin		1															0													0																1																																		1	1	0	
hvdbrink	Hilde van den Brink	Brink, Hilde van den			K																								1																						0															0													0																																																		0		0	
hbr	Hans Brinkers	Brinkers, Hans																																										0		1			Hans		0															0													0																																																		0		0	
ibrinkman	Isabelle Brinkman	Brinkman, Isabelle	BrinkmanI.htm		C D H K												1		1							1			1															4	Kink FM			a	Isabelle		6															0													0																																1	1	1			1	1	1											6		4	1
jwbroek	Jan Willem Broek	Broek, Jan Willem	BroekJW.htm																																															Subjectivisten	1															0													0																																													1					1		1	1
Broek	Joost van den Broek	Broek, Joost van den			B										1																																			After forever	1	1														0													0																																																		0		0	
hansb	Hans Broekhuijsen	Broekhuijsen, Hans			O																																						1								0															0													0																																																		0		0	
bertbr	Bert Broere	Broere, Bert		16																														1																	1														1	1													0																																																		0		0	
tavib	Tavi Bromwell	Bromwell, Tavi			G K																				1				1																																																																																																							
Pjonah	Jonah Bromwich	Bromwich, Jonah			G																				1																																									0													0																																																		0			
cbr	Cees Bronsveld	Bronsveld, Jaap	BronsveldC.htm																																									0		1			Cees		6									1	1	1	1	1	1	6													0																																																		0		0	
jbr	Jaap Brouwer	Brouwer, Jaap																																										0		1			Jaap		0															0													0																																																		0		0	
gbrown	Geoff Brown	Brown, Geoff		1 3 12 16 17	G	1			1												1				1									1	1									6		1			Geoff		0															0													0																																																		0		0	
glynbr	Glyn Brown	Brown, Glyn		12	G K																1				1				1															3		1			Glynn		0															0													0																																																		0		0	
Pharley	Harley Brown	Brown, Harley			G																				1																																									0													0																																																		0			
mbrownf	Mick Brownfield	Brownfield, Mick			G																				1																			1		1			Mick		0															0													0																																																		0		0	
pvb	Peter van Bruggen	Bruggen, Peter van	BruggenP.htm	9	C D H											1	1		1							1																		4	KRO	6		a	Peter		9															0													0			1	1	1	1	1	1				1				1							1																											9		0	
hdb	Hans de Bruijne	Bruijne, Hans de																																										0		1			hdb		0															0													0																																																		0		0	
lwb	Leo W. Bruin	Bruin, Leo W.		3					1																																			1		4			Leo		0															0													0																																																		0		0	
tbruinja	Tsead Bruinja	Bruinja, Tsead																																																	0															0													0																																																		0	1	0	
pvbrum	Peter van Brummelen	Brummelen, Peter van	BrummelenP.htm		D N														1																							1		2	Parool		1	a	Peter	Parool	21															0	1	1	1										3																1								1	1	1	1		1	1			1	1	1		1	1				1		1	1	1		1	1	18		8	1
hbrusselmans	Herman Brusselmans	Brusselmans, Herman			A			1																																											0															0													0																																																		0	1	0	
pbr	Peter Bruyn	Bruyn, Peter	BruynP.htm	2 11	D		1												1	1																								3	Utrechts nieuwsblad/Haarlems dagblad/Rails	1	1	a	Peter	Revolver, GPD, Stream, Gonzo circus	29															0													0																		1		1		1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	29		13	1
Bruysten	Henk Bruysten	Bruysten, Henk			B										1																																			Hank the Knife & the Jets	1	1														0													0																																																		0		0	
cbryans	Chris Bryans	Bryans, C hris			G																				1																			1							0															0													0																																																		0		0	
bbuch	Boudewijn Büch	Buch, Boudewijn	BuchB.htm		A D E L			1											1			1								1														4	schrijver			a	Boudewijn		1															0													0																1																																		1		0	
dbuck	David Buckley	Buckley, David		20	G																				1													1						2		1			David		0															0													0																																																		0		0	
gbuelens	Geert Buelens	Buelens, Geert																																																	0															0													0																																																		0	1	0	
Buenen	Kees Buenen	Buenen, Kees			B										1																																			Bots	1	1														0													0																																																		0		0	
jbuis	John Buis	Buis, John	BuisJ.htm																																															Fret	1															0													0																																											1							1		1	1
mbuise	Maartje Buise	Buise, Maartje			K																								1																																																																																																							
jbulley	Jenny Bulley	Bulley, Jenny		16	G K																				1				1					1										3		1			Jenny		0															0													0																																																		0		0	
jbungey	John Bungey	Bungey, John		14	G																				1							1												2		1			John		0															0													0																																																		0		0	
bauk	Baukje Burggraaff	Burggraaff, Baukje																																										0		1			Baukje		0															0													0																																																		0		0	
alexb	Alex Burghoorn	Burghoorn, Alex	BurghoornA.htm		D														1																									1	Volkskrant			a	Alex		1															0													0																															1																			1		0	
jjburnel	J.J. Burnel	Burnel, J.J.			G																				1																			1					J.J		0															0													0																																																		0		0	
rbr	Rob Burnham-Rusk	Burnham-Rusk, Rob			G																				1																																									0													0																																																		0			
kburns	Kenneth Burns	Burns, Kenneth			G																				1																			1							0															0													0																																																		0		0	
jburton	Jonathan Burton	Burton, Jonathan			G																				1																			1		0					0															0													0																																																		0		0	
vb	Vincent Bus	Bus, Vincent																																										0		1			Vincent		0															0													0																																																		0		0	
bbutch	Bleddyn Butcher	Butcher, Beddyn			G																				1																			1							0															0													0																																																		0		0	
mbutler	Mike Butler	Butler, Mike		16	G																				1									1										2		1			Mike		0															0													0																																																		0		0	
pbuwalda	Peter Buwalda	Buwalda, Peter																																																Oor	0															0													0																																																		0	1	0	
yb	Yorick Buwalda	Buwalda, Yorick	BuwaldaY.htm																																									0			1		Yorick		9															0													0																																								1	1	1		1	1	1	1	1	1	9		6	1
pabcab	Pablo Cabenda	Cabenda, Pablo	CabendaP.htm																																									0						De Volkskrant	3															0													0																																									1		1		1					3		3	1
acambridge	Amanda Cambridge	Cambridge, Amanda			G K																				1				1															2							0															0													0																																																		0		0	
kcameron	Keith Cameron	Cameron, Keith		6 15	G							1													1								1											3		1			Keith		0															0													0																																																		0		0	
Cameron	Richard Cameron	Cameron, Richard			B										1																																			Arling & Cameron, Cowgum, Fluggy target	1	1														0													0																																																		0		0	
gcampbell	Graeme Campbell	Campbell, Graeme			G																																																													0													0																																																		0			
mc	Marcel Capell	Capell, Marcel																																										0		1			Marcek		0															0													0																																																		0		0	
acarden	Andrew Carden	Carden, Andrew		2	G																				1																			1		2			Andrew		0															0													0																																																		0		0	
ncarels	Niels Carels	Carels, Niels																																																	0															0													0																																																		0	1	0	
joostc	Joost Carlier	Carlier, Joost	CarlierJ.htm																																									0	Lochem-festival			a	Joost		1															0													0																1																																		1		0	
dcarr	Daphne Carr	Carr, Daphne			G K																				1				1															2		0					0															0													0																																																		0		0	
rcarring	Rychard Carrington	Carrington, Rychard			G																				1																			1							0															0													0																																																		0		0	
wallyc	Wally Cartigny	Cartigny, Wally																																										0							0															0													0																																																		0		0	
gcart	Garth Cartwright	Cartwright, Garth			G																				1																			1							0															0													0																																																		0		0	
hesterc	Hester Carvalho	Carvalho, Hester	CarvalhoH.htm		D J K N														1									2003	1													1		2006	NRC			a	Hester	NRC	20															0													0																								1		1	1	1	1	1		1	1	1	1	1	1		1	1		1		1	1		1	1	1	20		9	1
fc	Frits Castelein	Castelein, Frits																																										0		2			Frits		0															0													0																																																		0		0	
