D78	2006	Internet	Fast 'n' bulbous - albums met een 10 of 10-	FastnBulbousTop500.htm	pos	1		Algemeen	Engeland	Internet	1965-2003	505				canon 	1		D78	2006		D78	
D79	2006	Revolver	Revolver - live 25 (samengesteld door de lezers)	RevolverLive25.htm	pos			Algemeen	Nederland	Tijdschrift	1970-2003	25							D79	2006		D79	
D84	2006	Slant	Slant - the 25 greatest electronic albums of the 20th century	Slant25electronic.htm	pos	1		Electronica	V.S.	Tijdschrift	1977-1998	25				canon 	1		D84	2006		D84	
D85	2003	Revolver magazine	Revolver - 50 greatest punk rock albums of all time	RevolverMagazine50GreatestPunk.htm	pos			Punk		Internet	1973-2002	50							D85	2003		D85	
D86	2003	Downbeat	Downbeat - The 50 top blues albums of the past 50 years	Downbeat50topblues.htm	pos	1		Blues		Tijdschrift		50				canon 	1		D86	2003		D86	
D87	2003	Observer	Observer - Albums of the year 2003	Observer2003.htm	pos			Algemeen	Engeland	Tijdschrift	2003	20		1		2003	1	2003	D87	2003	1	D87	
D88	2004	Observer	Observer - Albums of 2004	Observer2004.htm	pos			Algemeen	Engeland	Tijdschrift	2004	20		1		2004	1	2004	D88	2004	1	D88	
D89	2003	Observer	Observer - Compilations of the year 2003	Observer2003.htm	pos			Algemeen	Engeland	Tijdschrift	2003	10							D89	2003		D89	
D90	2004	Observer	Observer - Reissues of the year 2004	Observer2004.htm	pos			Algemeen	Engeland	Tijdschrift	2004	10							D90	2004		D90	
D91	2005	Observer	Observer - Albums of the year 2005	Observer2005.htm	pos			Algemeen	Engeland	Tijdschrift	2005	100		1		2005	1	2005	D91	2005	1	D91	
D92	2006	Observer	Observer - 50 best albums of 2006	Observer2006.htm	pos			Algemeen	Engeland	Tijdschrift	2006	50		1		2006	1	2006	D92	2006	1	D92	
D93	2006	Observer	Observer - The 10 best compilations of 2006	Observer2006.htm	pos			Algemeen	Engeland	Tijdschrift	2006	10							D93	2006		D93	
D94A	1996	Boek	1001 record covers - 1950s (ed. Michael Ochs)	1000RecordCovers.htm	gp			Algemeen	V.S.	Boek	1950-1959	227							D94A	1996		D94A	1
D94B	1996	Boek	1001 record covers - 1960s (ed. Michael Ochs)	1000RecordCovers.htm	gp			Algemeen	V.S.	Boek	1960-1969	242							D94B	1996		D94B	1
D94C	1996	Boek	1001 record covers - 1970s (ed. Michael Ochs)	1000RecordCovers.htm	gp			Algemeen	V.S.	Boek	1970-1979	304							D94C	1996		D94C	1
D94D	1996	Boek	1001 record covers - 1980s-90s (ed. Michael Ochs)	1000RecordCovers.htm	gp			Algemeen	V.S.	Boek	1980-1995	229							D94D	1996		D94D	1
D95	2007	Boek	The greatest 261 albums since punk and disco (Gary Mulholland)	MuhollandGary261albums.htm	gp			Algemeen	Engeland	Boek	1976-2003	259							D95	2007		D95	
D98	2007	Music maker	Musicmakers top 100 (115 musici)	MusicmakerTop100.htm	ak		10	Algemeen	Nederland	Tijdschrift		10							D98	2007		D98	
D99	2010	VPRO-Gids	VPRO - 25 jaar song van het jaar	VPRO25jaarsong.htm	gp			Algemeen	Nederland	Tijdschrift	1985-2009	25			201012				D99	2010		D99	1
DJ04	2005	Boek	Dylan Jones - iPod, therefore I am - 100 best jazz albums	DylanJonesiPod.htm	pos	1		Jazz	Engeland	Boek	1934-2004	99				canon 	1		DJ04	2005		DJ04	
DJ05	2005	Boek	Dylan Jones - iPod, therefore I am - 25 hip-hop albums	DylanJonesiPod.htm	pos	1		Hiphop	Engeland	Boek	1982-2004	25				canon 	1		DJ05	2005		DJ05	
DJ10	2005	Boek	Dylan Jones - iPod, therefore I am - the 20 best reggae albums	DylanJonesiPod.htm	gp	1		Reggae	Engeland	Boek	1973-2001	20				canon 	1		DJ10	2005		DJ10	
DJ16	2005	Boek	Dylan Jones - iPod, therefore I am - 50 best soundtracks	DylanJonesiPod.htm	pos	1		Soundtracks	Engeland	Boek	1956-2003	50				canon 	1		DJ16	2005		DJ16	
DJ17	2005	Boek	Dylan Jones - iPod, therefore I am - 30 best records released this century	DylanJonesiPod.htm	pos	1		Algemeen	Engeland	Boek	2000-2004	30				canon 	1		DJ17	2005		DJ17	
F01	1981	Face	Face - jaarlijst 1981	Face1981.htm	pos			Algemeen	Engeland	Tijdschrift	1981	12				1981	1	1981	F01	1981	1	F01	
F02	1982	Face	Face - jaarlijst 1982	Face1982.htm	pos			Algemeen	Engeland	Tijdschrift	1982	13				1982	1	1982	F02	1982	1	F02	
F03	1983	Face	Face - jaarlijst 1983	Face1983.htm	pos			Algemeen	Engeland	Tijdschrift	1983	10				1983	1	1983	F03	1983	1	F03	
F04	1984	Face	Face - jaarlijst 1984	Face1984.htm	pos			Algemeen	Engeland	Tijdschrift	1984	20				1984	1	1984	F04	1984	1	F04	
F05	1985	Face	Face - jaarlijst 1985	Face1985.htm	pos			Algemeen	Engeland	Tijdschrift	1985	30				1985	1	1985	F05	1985	1	F05	
F06	1986	Face	Face - jaarlijst 1986	Face1986.htm	pos			Algemeen	Engeland	Tijdschrift	1986	30				1986	1	1986	F06	1986	1	F06	
F07	1987	Face	Face - jaarlijst 1987	Face1987.htm	pos			Algemeen	Engeland	Tijdschrift	1987	30				1987	1	1987	F07	1987	1	F07	
F08	1988	Face	Face - jaarlijst 1988	Face1988.htm	pos			Algemeen	Engeland	Tijdschrift	1988	30				1988	1	1988	F08	1988	1	F08	
F09	1989	Face	Face - jaarlijst 1989	Face1989.htm	pos			Algemeen	Engeland	Tijdschrift	1989	20				1989	1	1989	F09	1989	1	F09	
F10	1990	Face	Face - jaarlijst 1990	Face1990.htm	pos			Algemeen	Engeland	Tijdschrift	1990	20				1990	1	1990	F10	1990	1	F10	
F11	1991	Face	Face - jaarlijst 1991	Face1991.htm	pos			Algemeen	Engeland	Tijdschrift	1991	20				1991	1	1991	F11	1991	1	F11	
F12	1992	Face	Face - jaarlijst 1992	Face1992.htm	pos			Algemeen	Engeland	Tijdschrift	1992	20				1992	1	1992	F12	1992	1	F12	
F13	1993	Face	Face - jaarlijst 1993	Face1993.htm	pos			Algemeen	Engeland	Tijdschrift	1993	30				1993	1	1993	F13	1993	1	F13	
F14	1994	Face	Face - jaarlijst 1994	Face1994.htm	pos			Algemeen	Engeland	Tijdschrift	1994	31				1994	1	1994	F14	1994	1	F14	
F15	1995	Face	Face - jaarlijst 1995	Face1995.htm	pos			Algemeen	Engeland	Tijdschrift	1995	30				1995	1	1995	F15	1995	1	F15	
F16	1996	Face	Face - jaarlijst 1996	Face1996.htm	pos			Algemeen	Engeland	Tijdschrift	1996	30				1996	1	1996	F16	1996	1	F16	
F17	1997	Face	Face - jaarlijst 1997	Face1997.htm	pos			Algemeen	Engeland	Tijdschrift	1997	20				1997	1	1997	F17	1997	1	F17	
F18	1998	Face	Face - jaarlijst 1998	Face1998.htm	pos			Algemeen	Engeland	Tijdschrift	1998	20				1998	1	1998	F18	1998	1	F18	
F19	1999	Face	Face - jaarlijst 1999	Face1999.htm	pos			Algemeen	Engeland	Tijdschrift	1999	20				1999	1	1999	F19	1999	1	F19	
F20	2000	Face	Face - jaarlijst 2000	Face2000.htm	pos			Algemeen	Engeland	Tijdschrift	2000	20		1		2000	1	2000	F20	2000	1	F20	
F21	2001	Face	Face - jaarlijst 2001	Face2001.htm	pos			Algemeen	Engeland	Tijdschrift	2001	20		1		2001	1	2001	F21	2001	1	F21	
F22	2002	Face	Face - jaarlijst 2002	Face2002.htm	pos			Algemeen	Engeland	Tijdschrift	2002	39		1		2002	1	2002	F22	2002	1	F22	
F23	2003	Face	Face - jaarlijst 2003	Face2003.htm	pos			Algemeen	Engeland	Tijdschrift	2003	40		1		2003	1	2003	F23	2003	1	F23	
G01	1999	Guardian	Guardian - alternative top 100 albums ever	GuardianAlternative.htm	pos	1		Algemeen	Engeland	Krant	1960-1995	102				canon 	1		G01	1999		G01	
G02	1997	Guardian	Guardian - 100 best albums ever	Guardian100bestalbumsever1997.htm	pos	1		Algemeen	Engeland	Krant	1956-1996	100				canon 	1		G02	1997		G02	
G03	2007	Guardian	Guardian - jaarlijst 2007	Guardian2007.htm	pos			Algemeen	Engeland	Krant	2007	50		1		2007	1	2007	G03	2007	1	G03	
